esp32_id,ts,temp,hum
cucina,2026-05-05 12:00:54,24.5,45.5
cucina,2026-05-05 12:01:00,24.5,45.6
cucina,2026-05-05 12:01:05,24.4,45.6
cucina,2026-05-05 12:01:11,24.4,45.5
cucina,2026-05-05 12:01:17,24.4,45.6
cucina,2026-05-05 12:01:22,24.4,45.7
cucina,2026-05-05 12:01:28,24.4,45.7
cucina,2026-05-05 12:01:33,24.3,45.7
cucina,2026-05-05 12:01:39,24.3,45.7
cucina,2026-05-05 12:01:44,24.3,45.7
cucina,2026-05-05 12:01:51,24.3,45.8
cucina,2026-05-05 12:01:57,24.2,46.0
cucina,2026-05-05 12:02:02,24.2,45.9
cucina,2026-05-05 12:02:08,24.2,45.9
cucina,2026-05-05 12:02:13,24.2,46.0
cucina,2026-05-05 12:02:19,24.2,46.0
cucina,2026-05-05 12:02:24,24.2,46.1
cucina,2026-05-05 12:02:30,24.2,46.1
cucina,2026-05-05 12:02:35,24.2,46.2
cucina,2026-05-05 12:02:41,24.1,46.2
cucina,2026-05-05 12:02:46,24.1,46.5
cucina,2026-05-05 12:02:52,24.1,46.8
cucina,2026-05-05 12:02:57,24.1,46.9
cucina,2026-05-05 12:03:03,24.1,46.8
cucina,2026-05-05 12:03:09,24.1,46.7
cucina,2026-05-05 12:03:14,24.0,46.6
cucina,2026-05-05 12:03:20,24.0,46.6
cucina,2026-05-05 12:03:26,24.0,46.6
cucina,2026-05-05 12:03:31,24.0,46.7
cucina,2026-05-05 12:03:36,24.0,46.7
cucina,2026-05-05 12:03:42,24.0,46.7
